name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,NBA_championships,mvp_awards,olympic_gold_medals,FIBA_World_Cup,file
"Antonius Cleveland  ","1994-02-02  ","American  ",29,"Lokomotiv Kuban  ","  ","  ",0,"Southeast Missouri State University  ","0  ","0  ","  ","  ",Antonius_Cleveland
"Jay Vincent Jay Fletcher Vincent  ","1959-06-10  ","American  ",64,Los Angeles Lakers,forward,"24  ",1981,"Michigan State Spartans  ","0  ","0  ","0  ","0  ",Jay_Vincent
"Nikola Radičević  ","1994-04-25  ","Serbian  ",29,"Cedevita Olimpija  ",guard,"57  ",2015," ","0  ","0  ","0  ","0  ",Nikola_Radi
Fran Curran Francis Hugh Curran Sr.,1922-09-09,American,81,Rochester Royals,,,0,University of Notre Dame,,0,,,Fran_Curran
"Mark Price  ","1964-02-15  ","American  ",59," ",guard,"25  ",1986,"Georgia Tech  ","0  ","0  ","1  ","1  ",Mark_Price
"David Michineau  ","1994-06-06  ","French  ",29,"Bursaspor Basketbol  "," "," ",2016," ","0  ","0  ","0  ","0  ",David_Michineau
"Donta Hall  ","1997-08-07  ","American-born naturalized Azerbaijani  ",26,"AS Monaco  ","  ","  ",0,"Alabama  ","0  ","0  ","0  ","0  ",Donta_Hall
"Erick Strickland  ","1973-11-25  ","American  ",49," "," "," ",0,University of Nebraska," ","0  ","0  ","0  ",Erick_Strickland
"David Lattin  ","1943-12-23  ","American  ",79," ","Starting Center  ","10  ",1967,"Texas Western College  ","1  ","0  ","0  ","0  ",Dave_Lattin
"Toby Kimball  ","1942-09-07  ","American  ",81," ",forward," ",0,"University of Connecticut  ","0  ","0  ","0  ","0  ",Toby_Kimball
"Derek Grimm  ","1974-08-03  ","American  ",49,"Sacramento Kings  ",forward," ",0,"University of Missouri  ","0  ","0  ","0  ","0  ",Derek_Grimm
Anthony Marshon Davis Jr.,1993-03-11,American,30,Los Angeles Lakers,forward,1,2012,Kentucky,1,0,1,1,Anthony_Davis
"Brandan Keith Wright  ","1987-10-05  ","American  ",36,"Houston Rockets  ","  ","8  ",2007,"University of North Carolina at Chapel Hill  ","  ","  ","  ","  ",Brandan_Wright
"Askia Rahman Jones  ","1971-12-03  ","American-Venezuelan  ",51," ",guard," ",0,"Kansas State University  "," ","0  "," ","1  ",Askia_Jones
"Carrick Felix  ","1990-08-17  ","American  ",33," ",guard,"33  ",2013,"Arizona State  ","0  ","0  ","0  ","0  ",Carrick_Felix
"Mychel Thompson  ","1988-06-01  ","American  ",35," ",guard," ",0,"Pepperdine University  ","1  ","0   "," "," ","Mychel_Thompson "
Marvin Roberts,1950-01-29,American,73,,,45,1971,Utah State University,1,0,0,0,Marv_Roberts
"Kenneth ""Apple"" Green  ","1959-09-19  ","American  ",64,"New York Knicks  "," ","11  ",1981,"Pan American University  ","0  ","0  ","0  ","0  ",Ken_Green
Gerald Madkins Jr.,1969-04-18,American,54,,,,0,"University of California, Los Angeles",,0,,,Gerald_Madkins
"Don Anielak  ","1930-11-01  ","American  ",93,"New York Knicks  ","  ","26  ",1954,"Southwest Missouri State University  ","0  ","0  ","0  ","0  ",Don_Anielak
"Philip Douglas Jackson  ","1945-09-17  ","American  ",78," ",forward,"2  ",1967,"University of North Dakota  ","11   ","0  ","0  ","0  ",Phil_Jackson
"Anthony Avent  ","1969-10-18  ","American  ",54," "," ","15  ",1991,"Seton Hall University  ","0  ","0  ","0  ","0  ",Anthony_Avent
"Drew Edward Gordon  ","July 12, 1990  ","American  ",33,"Philadelphia 76ers  ",forward,"  ",0,"UCLA  ","0  ","0  ","0  ","0  ",Drew_Gordon
"Jarrett Jack  ","1983-10-28  ","American  ",39,"Detroit Pistons  "," ","22  ",2005,"Georgia Tech  "," ","0  ","0  ","0  ",Jarrett_Jack
"Rick Hughes  ","1973-08-22  ","American  ",50," "," "," ",0,"Thomas More College  ","0  "," "," "," ",Rick_Hughes
"Lavoy Allen  ","1989-02-04  ","American  ",34,"Philadelphia 76ers  "," ","50  ",2011,"Temple University  ","0  ","0  ","0  ","0  ",Lavoy_Allen
Ed Dahler Edward Dahler Jr.,1926-01-31,American,96,Philadelphia Warriors,,14,1950,Duquesne,,0,,,Ed_Dahler
"Magic Johnson  ","1959-08-14  ","American  ",64,Los Angeles Lakers,guard,"1  ",1979,"Michigan State  ","5  ","3  ","1  "," ",Magic_Johnson
"Stanley M. Noszka  ","1920-09-19  "," ",103," "," "," ",0," "," ","0  "," "," ",Stan_Noszka
"Isiah Thomas  ","1961-04-30  ","American  ",62,"Detroit Pistons  ",guard,"2  ",1981,"Indiana Hoosiers  ","2  ","1  ","0  ","0  ",Isiah_Thomas
Dan Anderson,1951-01-01,American,72,Portland Trail Blazers,,2,1974,,0,0,0,0,Dan_Anderson
Jahlil Okafor,1995-12-15,Nigerian-American,27,Capitanes de Arecibo,,3,2015,Duke,0,0,0,0,Jahlil_Okafor
"Trent Tucker  ","1959-12-20  ","American  ",63,"Chicago Bulls  ",guard,"6  ",1982,"University of Minnesota  ","1  ","0  ","0  ","0  ",Trent_Tucker
"Dwayne Kenneth Schintzius  ","1968-10-14  ","American  ",54,"  ","Center  ","24  ",1990,"University of Florida  ","0  ","0  ","0  ","0  ",Dwayne_Schintzius
"Miles Julian Simon  ","1975-11-21  ","American  ",47,"Phoenix Suns  ",guard,"  ",0,"University of Arizona  ","1  ","0  ","0  ","0  ",Miles_Simon
"Guy William Rodgers  ","1935-09-01  ","American  ",88,"Milwaukee Bucks  ","Playmaker  ","1  ",1958,"Temple University  ","0  ","0  ","0  ","0  ",Guy_Rodgers
Vernon Maxwell,1965-09-12,American,58,,guard,2,1988,University of Florida,2,0,0,0,Vernon_Maxwell
Tim Duncan,1976-04-25,American,48,San Antonio Spurs,forward,1,1997,Wake Forest University,5,2,0,0,Tim_Duncan
"Walter Berry  ","1964-05-14  ","American  ",59,"  ",forward,"14  ",1986,"St. John's University  ","0  ","0  ","0  ","0  ",Walter_Berry
"James Patrick Walsh  ","1930-08-29  ","American  ",93,"Philadelphia Warriors  ",forward,"  ",0,"Stanford University  ","0  ","0  ","1  ","  ",Jim_Walsh
"Tony Lorenzo Delk  ","1974-01-28  ","American  ",49," "," ","16  ",1996,"Kentucky  ","1  ","0  ","0  ","0  ",Tony_Delk
"Calvin Ramsey  ","1937-07-13  ","American  ",85,"New York Knicks  ",forward,"13  ",1959,"NYU  ","1  ","0  ","0  ","0  ",Cal_Ramsey
"Gene Dyker Eugene Walter Dyker  ","1930-02-17  ","American  ",93,"Milwaukee Hawks  ",forward,"  ",1953,"  ","  ","0  ","  ","  ",Gene_Dyker
"Derrick Chievous  ","1967-07-03  ","American  ",56,"Cleveland Cavaliers  ",forward,"16  ",1988,"University of Missouri  ","  ","0  ","0  ","0  ",Derrick_Chievous
"Rik Smits  ","1966-08-23  ","Dutch  ",57,"Indiana Pacers  ","Center  ","2  ",1988,"Marist College  ","0  ","0  ","0  ","0  ",Rik_Smits
Anthony Edwards,2001-08-05,American,22,Minnesota Timberwolves,guard,1,2020,Georgia,,0,1,,Anthony_Edwards
"Harry Junior ""The Horse"" Gallatin  ","1927-04-26  ","American  ",96,"Detroit Pistons  ","Center  ","20  ",1949,"Northeast Missouri State Teachers' College  ","0  ","0  ","0  ","0  ",Harry_Gallatin
"Jim Brasco  ","1931-02-03  ","American  ",92,"Milwaukee Hawks  ","  ","1  ",1952,"New York University  ","0  ","0  ","0  ","0  ",Jim_Brasco
"Darnell Hillman  ","1949-08-29  "," ",74," ",forward,"8  ",1971,"San Jose State University  ","0  ","0  ","0  ","1  ",Darnell_Hillman
Larry Robinson,1951-06-02,Canadian,72,Senior Consultant to Hockey Operations for the St. Louis Blues,Defenceman,,0,,10,1,,,Larry_Robinson
"Nicholas William Calathes  ","1989-02-07  ","Greek-American  ",34,"AS Monaco  ",guard,"35  ",2009,"University of Florida  ","0  ","0  ","0  ","0  ",Nick_Calathes
"Rod Derline  ","1952-03-11  "," ",71,"Seattle SuperSonics  ",guard,"169  ",1974,"Seattle University  ","0  ","0  ","0  ","0  ",Rod_Derline
"Kurt Thomas  ","1972-10-04  ","American  ",51," ",forward," ",1995,"Texas Christian University  ","0  ","0  ","0  ","0  ",Kurt_Thomas
Kevin Wayne Durant,1988-09-29,American,35,Phoenix Suns,small forward,2,2007,University of Texas at Austin,2,1,4,1,Kevin_Durant
"Aaron Williams  ","1971-10-02  ","American  ",52," ",forward," ",0,"Xavier University  "," ","0  "," "," ",Aaron_Williams
"Nathaniel Thomas Huffman  ","1975-04-02  ","American  ",48,"Toronto Raptors  ","  ","  ",0,"Central Michigan University  ","0  ","1  ","0  ","1  ",Nate_Huffman
"Fred Boyd  ","1950-06-13  ","American  ",73,"New Orleans Jazz  ","  ","5  ",1972,"Oregon State University  ","  ","0  ","0  ","0  ",Fred_Boyd
"William Bedford  ","1963-12-14  ","American  ",59," ","center  ","6  ",1986,"Memphis State University  ","2  ","0  ","0  ","0  ",William_Bedford
Steve Smith,1969-03-31,American,54,Charlotte Bobcats,guard,5,1991,Michigan State,1,0,1,1,Steve_Smith
