university_name,academic_calendar,rank,year_founded,total_undergraduate_enrollment,file
California State University--Fresno,semester-based,44,1911,"18,216",0859
Freed-Hardeman University,semester-based,39,1869,"1,496",0092
Cornell College,other-based,81,1853,"1,133",0978
Converse College,4-1-4-based,15,1889,729,0975
Lawrence University,trimester-based,67,1847,"1,495",0204
Jamestown College,semester-based,41,1884,"1,010",0173
Hamline University,4-1-4-based,9,1854,"1,921",0126
University of California--Riverside,quarter-based,94,1954,"16,996",0649
Briar Cliff University,trimester-based,29,1930,"1,079",0588
College of Idaho,other-based,174,1891,"1,002",0941
