name,age,team,file
Ausar Thompson  ,20  ,Detroit Pistons  ,Ausar_Thompson
Austin Tyler Reaves  ,25  ,Los Angeles Lakers  ,Austin_Reaves
Giannis Antetokounmpo  ,29  ,Milwaukee Bucks  ,Giannis_Antetokounmpo
Caleb Martin  ,28  , ,Caleb_Martin
Cade Parker Cunningham  ,22  ,Detroit Pistons  ,Cade_Cunningham
Kyrie Andrew Irving  ,31  , ,Kyrie_Irving
"Edrice Femi ""Bam"" Adebayo  ",26  ,Miami Heat  ,Bam_Adebayo
Jalen Marquis Brunson  ,27  ,New York Knicks  ,Jalen_Brunson
 ,25  ,Boston Celtics  ,Jayson_Tatum
Kevon Looney  ,27  , ,Kevon_Looney
