name,team,NBA_championships,file
Ausar Thompson  ,Detroit Pistons  , ,Ausar_Thompson
Austin Tyler Reaves  ,Los Angeles Lakers  ,0  ,Austin_Reaves
Giannis Antetokounmpo  ,Milwaukee Bucks  ,1  ,Giannis_Antetokounmpo
Caleb Martin  ,Philadelphia 76ers  ,0  ,Caleb_Martin
Cade Parker Cunningham  ,Detroit Pistons  , ,Cade_Cunningham
Kyrie Irving  ,Dallas Mavericks  ,1  ,Kyrie_Irving
"Edrice Femi ""Bam"" Adebayo  ",Miami Heat  ,0  ,Bam_Adebayo
Jalen Marquis Brunson,New York Knicks,2,Jalen_Brunson
Jayson Tatum  ,Boston Celtics  ,1  ,Jayson_Tatum
Kevon Looney,Golden State Warriors,3,Kevon_Looney
