name,team,draft_pick,draft_year,college,age,file
David Lattin  ,  ,10  ,1967  ,Tennessee State; Texas Western College  ,  ,Dave_Lattin
,,22,2005,Georgia Tech,,Jarrett_Jack
Kelvin Trent Tucker  ,  ,6  ,1982  ,University of Minnesota  ,  ,Trent_Tucker
Sid Tanenbaum  ,  ,  ,  ,New York University  ,60  ,Sid_Tanenbaum
Erick Strickland  ,  ,  ,1996  ,University of Nebraska  ,  ,Erick_Strickland
Kevin Wayne Durant,Phoenix Suns,2,2007,Texas Longhorns,36,Kevin_Durant
Dick Rosenthal  ,Fort Wayne Pistons  ,1  ,1954  ,Notre Dame  ,91  ,Dick_Rosenthal
Kermit Washington  ,Los Angeles Lakers  ,5  ,1973  ,American University  ,  ,Kermit_Washington
Mark Price,,25,1986,Georgia Tech,,Mark_Price
,,,,,,Dennis_Schröder
