name,age,team,draft_year,draft_pick,college,file
Isiah Thomas,,Detroit Pistons,1981,second overall pick,Indiana Hoosiers (Indiana University),Isiah_Thomas
Askia Jones  ,,Minnesota Timberwolves  , , ,Kansas State University  ,Askia_Jones
Erazem Lorbek  ,, ,2005  , ,Michigan State University  ,Erazem_Lorbek
Antonius Cleveland  ,,Lokomotiv Kuban  ,2017  , ,Southeast Missouri State University  ,Antonius_Cleveland
Ronald Moore  ,,  ,2010  ,  ,Siena  ,Ronald_Moore
Donald Robert Anielak,,New York Knicks,1954,26th overall,Moberly Junior College; Southwest Missouri State University; Bradley,Don_Anielak
"Earvin ""Magic"" Johnson Jr.",,Los Angeles Lakers,1979,1,Michigan State,Magic_Johnson
Walter Berry,,,1986,14th overall pick,St. John's University,Walter_Berry
Erick Strickland,,Dallas Mavericks,1996,,University of Nebraska,Erick_Strickland
Trent Tucker  ,,  ,1982  ,6th overall pick  ,University of Minnesota  ,Trent_Tucker
Joseph Xavier Forte  ,,  ,2001  ,21st  ,University of North Carolina at Chapel Hill  ,Joseph_Forte
"Kenneth ""Apple"" Green",,New York Knicks,1981,11,Pan American University,Ken_Green
Carrick Felix  ,,Cleveland Cavaliers  ,2013  ,33rd overall pick  ,Arizona State; College of Southern Idaho  ,Carrick_Felix
Phil Jackson,,,1967,,University of North Dakota,Phil_Jackson
Vernon Maxwell  ,, ,1988  , ,University of Florida  ,Vernon_Maxwell
Rick Hughes  ,, , , ,Thomas More College  ,Rick_Hughes
Anthony Edwards,,Minnesota Timberwolves,2020,1,Georgia Bulldogs,Anthony_Edwards
Jim Brasco,,Milwaukee Hawks,1952,,New York University,Jim_Brasco
Jack Parr  ,,Cincinnati Royals  ,1958  , ,Kansas State University  ,Jack_Parr
Elmer Behnke,,Milwaukee Hawks,1951,35th pick overall,Bradley University,Elmer_Behnke
