university_name,total_undergraduate_enrollment,file
Barton College,1150,0047.txt
Freed-Hardeman University,1496,0092.txt
Hampshire College,1463,0128.txt
Mudd,750,0136.txt
Hastings College,1104,0137.txt
Hollins University,796,0149.txt
Jamestown College,1010,0173.txt
Knox College,1407,0193.txt
Lawrence University,1495,0204.txt
Massachusetts Maritime Academy,1185,0255.txt
Morningside College,1239,0326.txt
New College of Florida,825,0341.txt
New England College,1014,0342.txt
North Carolina Wesleyan College,1449,0351.txt
Oklahoma Baptist University,1714,0384.txt
Piedmont College,1268,0409.txt
Rollins College,1773,0450.txt
St. Josephs College,1010,0532.txt
Tabor College,618,0574.txt
Briar Cliff University,1079,0588.txt
United States Coast Guard Academy,973,0632.txt
United States Merchant Marine Academy,964,0633.txt
University of Science and Arts of Oklahoma,1087,0742.txt
Virginia Union University,1307,0803.txt
Wesleyan College,624,0826.txt
Westmont College,1304,0842.txt
Woodbury University,1301,0894.txt
Catawba College,1324,0907.txt
Chestnut Hill College,1480,0922.txt
College of Idaho,1002,0941.txt
Mount St. Vincent College,1555,0943.txt
College of the Atlantic,336,0952.txt
Columbia College SC,1189,0962.txt
Concordia University Chicago,1270,0969.txt
Converse College,729,0975.txt
Cornell College,1133,0978.txt
Crown College,1061,0982.txt
Davis and Elkins College,710,0997.txt
