university_name,year_founded,setting,file
Auburn University--Montgomery,1967,suburban,0031.txt
Fairleigh Dickinson University,1942,suburban,0072.txt
George Mason University,1972,suburban,0101.txt
High Point University,1924,suburban,0143.txt
Kennesaw State University,1963,suburban,0185.txt
Lewis University,1932,suburban,0214.txt
Missouri Southern State University,1937,suburban,0285.txt
Monmouth University,1933,suburban,0291.txt
New College of Florida,2001,suburban,0341.txt
North Carolina Wesleyan College,1956,suburban,0351.txt
Southeastern University,1935,suburban,0489.txt
United States Coast Guard Academy,1931,suburban,0632.txt
United States Merchant Marine Academy,1943,suburban,0633.txt
University of Central Arkansas,1907,suburban,0653.txt
University of South Alabama,1963,suburban,0745.txt
Westmont College,1937,suburban,0842.txt
Chestnut Hill College,1924,suburban,0922.txt
College of Our Lady of the Elms (Elms College),1928,suburban,0946.txt
College of St. Scholastica,1912,suburban,0951.txt
