university_name,academic_calendar,rank,file,campus_size_acres,endowment,institution_type,name,ranking_2011_National_Universities,setting,total_undergraduate_enrollment,year_founded,NAN
Freed-Hardeman University,semester,39,0092.txt,,,,,,,,,
George Washington University,semester-based,51,0104.txt,43,NAN,private,George Washington University,51,urban,10558,1821,
Jamestown College,semester,41,0173.txt,,,,,,,,,
Montana Tech,semester,10,0295.txt,,,,,,,2560,1893,
RPI,semester,41,0434.txt,,,,,,,,,NAN
Rollins College,semester,1,0450.txt,,,,,,,1773,1885,
St. Josephs College,semester,25,0532.txt,,,,,,,,,
Towson University,semester,46,0617.txt,,,,,,,,,
Coast Guard Academy,semester,1,0632.txt,,,,,,,973,1931,
Valparaiso University,semester,5,0792.txt,,,,,,,,,
Virginia Union University,semester,64,0803.txt,,,,,,,1307,1865,
